customer_id,call_reason,sentiment,resolved,duration_sec
CUST-10000,Billing Discrepancy / High Charges,Negative,True,82
CUST-10000,SIM / Network Activation Issue,Positive,False,476
CUST-10000,Service Disconnection Query,Negative,False,808
CUST-10000,Plan Upgrade Request,Negative,False,31
CUST-10001,Plan Upgrade Request,Positive,True,374
CUST-10001,Billing Discrepancy / High Charges,Negative,False,236
CUST-10002,Plan Upgrade Request,Neutral,True,171
CUST-10002,Billing Discrepancy / High Charges,Negative,True,122
CUST-10002,Competitor Offer Inquiry,Neutral,False,97
CUST-10002,Service Disconnection Query,Negative,False,140
CUST-10002,Network Quality / Data Speed Slow,Negative,False,145
CUST-10002,Billing Discrepancy / High Charges,Negative,True,128
CUST-10003,Plan Upgrade Request,Neutral,False,500
CUST-10003,Service Disconnection Query,Negative,False,126
CUST-10003,Network Quality / Data Speed Slow,Negative,False,454
CUST-10003,Billing Discrepancy / High Charges,Negative,True,313
CUST-10003,Network Quality / Data Speed Slow,Negative,True,324
CUST-10003,Billing Discrepancy / High Charges,Negative,False,473
CUST-10004,Billing Discrepancy / High Charges,Negative,True,91
CUST-10004,Network Quality / Data Speed Slow,Negative,False,137
CUST-10004,Network Quality / Data Speed Slow,Negative,True,145
CUST-10005,Billing Discrepancy / High Charges,Negative,False,144
CUST-10005,Network Quality / Data Speed Slow,Negative,True,457
CUST-10005,Network Quality / Data Speed Slow,Negative,False,192
CUST-10005,Service Disconnection Query,Negative,True,541
CUST-10005,Plan Upgrade Request,Negative,True,166
CUST-10005,Network Quality / Data Speed Slow,Negative,False,90
CUST-10005,Network Quality / Data Speed Slow,Negative,True,342
CUST-10006,Network Quality / Data Speed Slow,Negative,True,69
CUST-10006,Network Quality / Data Speed Slow,Negative,True,152
CUST-10007,Network Quality / Data Speed Slow,Negative,True,320
CUST-10007,Billing Discrepancy / High Charges,Negative,True,144
CUST-10007,Network Quality / Data Speed Slow,Negative,True,104
CUST-10007,Network Quality / Data Speed Slow,Negative,True,106
CUST-10007,Service Disconnection Query,Negative,True,50
CUST-10007,Billing Discrepancy / High Charges,Negative,True,47
CUST-10007,Network Quality / Data Speed Slow,Negative,True,67
CUST-10008,Network Quality / Data Speed Slow,Negative,True,219
CUST-10008,Competitor Offer Inquiry,Positive,True,345
CUST-10009,Network Quality / Data Speed Slow,Negative,True,199
CUST-10009,Plan Upgrade Request,Positive,False,219
CUST-10009,Network Quality / Data Speed Slow,Negative,False,262
CUST-10010,Competitor Offer Inquiry,Negative,False,79
CUST-10010,Network Quality / Data Speed Slow,Negative,False,542
CUST-10011,Billing Discrepancy / High Charges,Negative,True,149
CUST-10011,Network Quality / Data Speed Slow,Negative,False,251
CUST-10011,Network Quality / Data Speed Slow,Negative,False,212
CUST-10011,Competitor Offer Inquiry,Positive,False,92
CUST-10011,Network Quality / Data Speed Slow,Negative,False,51
CUST-10011,Plan Upgrade Request,Negative,True,62
CUST-10012,Service Disconnection Query,Negative,True,173
CUST-10013,Billing Discrepancy / High Charges,Negative,False,381
CUST-10013,Network Quality / Data Speed Slow,Negative,True,229
CUST-10014,Competitor Offer Inquiry,Neutral,False,698
CUST-10014,Competitor Offer Inquiry,Neutral,True,193
CUST-10014,Network Quality / Data Speed Slow,Negative,False,45
CUST-10014,Network Quality / Data Speed Slow,Negative,True,158
CUST-10015,Network Quality / Data Speed Slow,Negative,False,67
CUST-10015,Billing Discrepancy / High Charges,Negative,True,393
CUST-10016,Billing Discrepancy / High Charges,Negative,True,185
CUST-10016,Network Quality / Data Speed Slow,Negative,False,81
CUST-10016,Service Disconnection Query,Negative,True,915
CUST-10016,Network Quality / Data Speed Slow,Negative,False,121
CUST-10017,Network Quality / Data Speed Slow,Negative,True,371
CUST-10017,Network Quality / Data Speed Slow,Negative,True,69
CUST-10017,Competitor Offer Inquiry,Negative,True,548
CUST-10017,Competitor Offer Inquiry,Neutral,False,81
CUST-10017,Network Quality / Data Speed Slow,Negative,False,295
CUST-10017,Network Quality / Data Speed Slow,Negative,True,71
CUST-10017,Service Disconnection Query,Negative,False,83
CUST-10018,Service Disconnection Query,Negative,True,234
CUST-10018,Network Quality / Data Speed Slow,Negative,True,86
CUST-10018,Competitor Offer Inquiry,Negative,False,326
CUST-10019,Network Quality / Data Speed Slow,Negative,False,289
CUST-10019,Service Disconnection Query,Negative,False,451
CUST-10019,Network Quality / Data Speed Slow,Negative,True,316
CUST-10020,Network Quality / Data Speed Slow,Negative,True,122
CUST-10020,Service Disconnection Query,Negative,True,230
CUST-10020,Network Quality / Data Speed Slow,Negative,True,107
CUST-10020,Network Quality / Data Speed Slow,Negative,False,389
CUST-10020,Service Disconnection Query,Negative,True,163
CUST-10020,Network Quality / Data Speed Slow,Negative,True,160
CUST-10020,Service Disconnection Query,Negative,True,93
CUST-10020,Competitor Offer Inquiry,Neutral,False,162
CUST-10021,Network Quality / Data Speed Slow,Negative,True,176
CUST-10021,Plan Upgrade Request,Negative,True,306
CUST-10022,Billing Discrepancy / High Charges,Negative,True,219
CUST-10022,Service Disconnection Query,Negative,True,88
CUST-10022,Network Quality / Data Speed Slow,Negative,True,289
CUST-10022,Service Disconnection Query,Negative,False,31
CUST-10022,Network Quality / Data Speed Slow,Negative,True,87
CUST-10022,Network Quality / Data Speed Slow,Negative,True,44
CUST-10023,Service Disconnection Query,Negative,False,183
CUST-10023,Network Quality / Data Speed Slow,Negative,False,636
CUST-10023,Network Quality / Data Speed Slow,Negative,False,362
CUST-10023,Billing Discrepancy / High Charges,Negative,True,147
CUST-10023,Billing Discrepancy / High Charges,Negative,True,508
CUST-10024,Service Disconnection Query,Negative,True,188
CUST-10024,Plan Upgrade Request,Positive,True,318
CUST-10024,Competitor Offer Inquiry,Neutral,True,172
CUST-10025,Network Quality / Data Speed Slow,Negative,False,42
CUST-10025,Network Quality / Data Speed Slow,Negative,True,41
CUST-10026,SIM / Network Activation Issue,Positive,False,108
CUST-10026,Network Quality / Data Speed Slow,Negative,True,247
CUST-10026,SIM / Network Activation Issue,Negative,True,191
CUST-10027,Service Disconnection Query,Negative,False,202
CUST-10027,Service Disconnection Query,Negative,False,115
CUST-10027,Billing Discrepancy / High Charges,Negative,True,109
CUST-10027,Billing Discrepancy / High Charges,Negative,False,159
CUST-10027,Service Disconnection Query,Negative,True,142
CUST-10027,Competitor Offer Inquiry,Positive,True,249
CUST-10028,Billing Discrepancy / High Charges,Negative,True,229
CUST-10028,Network Quality / Data Speed Slow,Negative,False,59
CUST-10028,Billing Discrepancy / High Charges,Negative,False,347
CUST-10028,Service Disconnection Query,Negative,False,110
CUST-10028,Network Quality / Data Speed Slow,Negative,True,390
CUST-10029,SIM / Network Activation Issue,Negative,False,72
CUST-10030,Service Disconnection Query,Negative,True,168
CUST-10030,Billing Discrepancy / High Charges,Negative,True,81
CUST-10030,Network Quality / Data Speed Slow,Negative,True,149
CUST-10031,Service Disconnection Query,Negative,True,493
CUST-10031,Network Quality / Data Speed Slow,Negative,True,38
CUST-10031,Plan Upgrade Request,Negative,True,667
CUST-10032,Billing Discrepancy / High Charges,Negative,True,360
CUST-10033,Billing Discrepancy / High Charges,Negative,False,84
CUST-10033,Billing Discrepancy / High Charges,Negative,True,431
CUST-10033,SIM / Network Activation Issue,Negative,False,39
CUST-10033,Network Quality / Data Speed Slow,Negative,True,81
CUST-10033,Network Quality / Data Speed Slow,Negative,True,313
CUST-10033,Billing Discrepancy / High Charges,Negative,True,541
CUST-10034,Network Quality / Data Speed Slow,Negative,False,148
CUST-10034,Competitor Offer Inquiry,Negative,True,320
CUST-10034,Service Disconnection Query,Negative,False,526
CUST-10035,Plan Upgrade Request,Neutral,False,231
CUST-10035,Network Quality / Data Speed Slow,Negative,True,121
CUST-10036,Network Quality / Data Speed Slow,Negative,True,1107
CUST-10036,Plan Upgrade Request,Neutral,True,271
CUST-10037,Billing Discrepancy / High Charges,Negative,True,126
CUST-10037,Network Quality / Data Speed Slow,Negative,True,44
CUST-10038,Plan Upgrade Request,Negative,False,147
CUST-10038,Billing Discrepancy / High Charges,Negative,True,50
CUST-10038,Service Disconnection Query,Negative,False,74
CUST-10038,Competitor Offer Inquiry,Neutral,True,264
CUST-10039,Plan Upgrade Request,Neutral,True,111
CUST-10039,Network Quality / Data Speed Slow,Negative,True,57
CUST-10039,Network Quality / Data Speed Slow,Negative,True,184
CUST-10039,Service Disconnection Query,Negative,True,45
CUST-10040,Service Disconnection Query,Negative,True,268
CUST-10041,Network Quality / Data Speed Slow,Negative,True,53
CUST-10041,Network Quality / Data Speed Slow,Negative,False,55
CUST-10041,Competitor Offer Inquiry,Negative,True,47
CUST-10041,Network Quality / Data Speed Slow,Negative,True,523
CUST-10042,Billing Discrepancy / High Charges,Negative,True,56
CUST-10042,Network Quality / Data Speed Slow,Negative,True,67
CUST-10042,Billing Discrepancy / High Charges,Negative,True,323
CUST-10042,Network Quality / Data Speed Slow,Negative,True,259
CUST-10042,Billing Discrepancy / High Charges,Negative,False,225
CUST-10042,Billing Discrepancy / High Charges,Negative,True,645
CUST-10043,Plan Upgrade Request,Neutral,True,69
CUST-10043,Competitor Offer Inquiry,Positive,True,647
CUST-10043,Network Quality / Data Speed Slow,Negative,False,136
CUST-10044,Network Quality / Data Speed Slow,Negative,False,82
CUST-10044,Network Quality / Data Speed Slow,Negative,True,223
CUST-10045,Competitor Offer Inquiry,Neutral,True,145
CUST-10045,Billing Discrepancy / High Charges,Negative,False,93
CUST-10045,Billing Discrepancy / High Charges,Negative,False,193
CUST-10045,Competitor Offer Inquiry,Negative,True,179
CUST-10046,Service Disconnection Query,Negative,True,43
CUST-10046,Network Quality / Data Speed Slow,Negative,False,191
CUST-10046,Billing Discrepancy / High Charges,Negative,True,102
CUST-10046,Competitor Offer Inquiry,Positive,True,63
CUST-10046,Billing Discrepancy / High Charges,Negative,True,225
CUST-10046,Service Disconnection Query,Negative,False,51
CUST-10047,Service Disconnection Query,Negative,True,33
CUST-10047,Service Disconnection Query,Negative,True,245
CUST-10048,Billing Discrepancy / High Charges,Negative,True,102
CUST-10048,Plan Upgrade Request,Neutral,True,653
CUST-10049,Plan Upgrade Request,Neutral,False,377
CUST-10049,SIM / Network Activation Issue,Positive,False,40
CUST-10050,Service Disconnection Query,Negative,True,57
CUST-10050,Network Quality / Data Speed Slow,Negative,False,236
CUST-10051,Plan Upgrade Request,Neutral,True,426
CUST-10051,Billing Discrepancy / High Charges,Negative,True,89
CUST-10051,Billing Discrepancy / High Charges,Negative,True,276
CUST-10051,Service Disconnection Query,Negative,False,50
CUST-10052,Billing Discrepancy / High Charges,Negative,False,54
CUST-10052,Network Quality / Data Speed Slow,Negative,False,316
CUST-10052,Billing Discrepancy / High Charges,Negative,True,160
CUST-10053,Billing Discrepancy / High Charges,Negative,True,134
CUST-10053,Billing Discrepancy / High Charges,Negative,False,298
CUST-10053,Plan Upgrade Request,Negative,True,77
CUST-10054,Network Quality / Data Speed Slow,Negative,True,111
CUST-10055,Billing Discrepancy / High Charges,Negative,True,90
CUST-10055,Network Quality / Data Speed Slow,Negative,False,32
CUST-10055,Network Quality / Data Speed Slow,Negative,False,1064
CUST-10055,Service Disconnection Query,Negative,True,76
CUST-10055,Competitor Offer Inquiry,Negative,True,78
CUST-10055,Network Quality / Data Speed Slow,Negative,True,200
CUST-10056,Network Quality / Data Speed Slow,Negative,False,66
CUST-10056,Service Disconnection Query,Negative,True,169
CUST-10056,Network Quality / Data Speed Slow,Negative,False,188
CUST-10056,Network Quality / Data Speed Slow,Negative,False,172
CUST-10056,Competitor Offer Inquiry,Neutral,False,51
CUST-10056,Service Disconnection Query,Negative,False,254
CUST-10057,Billing Discrepancy / High Charges,Negative,False,652
CUST-10057,Competitor Offer Inquiry,Neutral,False,306
CUST-10057,Network Quality / Data Speed Slow,Negative,True,125
CUST-10057,Billing Discrepancy / High Charges,Negative,True,138
CUST-10058,Billing Discrepancy / High Charges,Negative,True,338
CUST-10058,Billing Discrepancy / High Charges,Negative,True,225
CUST-10058,Service Disconnection Query,Negative,True,216
CUST-10059,Network Quality / Data Speed Slow,Negative,True,461
CUST-10060,Competitor Offer Inquiry,Neutral,False,103
CUST-10061,Service Disconnection Query,Negative,False,942
CUST-10061,Billing Discrepancy / High Charges,Negative,False,38
CUST-10061,Billing Discrepancy / High Charges,Negative,True,360
CUST-10061,Service Disconnection Query,Negative,True,98
CUST-10062,Service Disconnection Query,Negative,False,222
CUST-10062,Competitor Offer Inquiry,Positive,True,127
CUST-10063,Plan Upgrade Request,Negative,False,146
CUST-10063,Service Disconnection Query,Negative,True,498
CUST-10064,Service Disconnection Query,Negative,True,117
CUST-10064,Network Quality / Data Speed Slow,Negative,False,293
CUST-10064,Plan Upgrade Request,Negative,True,561
CUST-10065,Network Quality / Data Speed Slow,Negative,False,264
CUST-10065,Network Quality / Data Speed Slow,Negative,False,336
